code
ETH2001_WHIBRIT_COD
ETH2001_WHIIRISH_COD
ETH2001_WHIOTHER_COD
ETH2001_MXDWHIBLKCAR_COD
ETH2001_MXDWHIBLKAFR_COD
ETH2001_MXDWHIASN_COD
ETH2001_MXDOTHER_COD
ETH2001_ASNINDIAN_COD
ETH2001_ASNPAK_COD
ETH2001_ASNBANG_COD
ETH2001_ASNOTHER_COD
ETH2001_BLKCARIB_COD
ETH2001_BLKAFRIC_COD
ETH2001_BLKOTH_COD
ETH2001_CHINESE_COD
ETH2001_OTHER_COD
NON_ETH2001_COD
ETH_NOTSTATED_COD
ETH_NORECORD_COD
ETH_NOTGIPTREF_COD
